# dumped at t=1 ps
e_aq^-1 -6.82225 -2.22606 -1496.77
e_aq^-1 9.3021 -8.99885 -1488.67
e_aq^-1 -12.3672 9.47846 -1506.13
e_aq^-1 5.92953 1.89634 -1478.71
e_aq^-1 -12.4406 -7.85289 -1475.34
e_aq^-1 16.6292 9.39395 -1465.64
e_aq^-1 2.04054 16.3075 -1485.41
e_aq^-1 -7.77906 4.44427 -1461.93
e_aq^-1 2.21366 6.01852 -1472.44
e_aq^-1 27.0756 -17.696 -1462
e_aq^-1 0.118383 7.45822 -1452.9
e_aq^-1 6.00544 -8.82368 -1448.19
e_aq^-1 -21.0615 1.12228 -1449.43
e_aq^-1 -5.72411 10.1996 -1445.24
e_aq^-1 0.0434535 1.57419 -1443.09
e_aq^-1 -11.4501 5.66723 -1445.03
e_aq^-1 4.54265 -7.01349 -1463.38
e_aq^-1 -0.563265 14.341 -1438.74
e_aq^-1 -13.7335 -3.34053 -1434.55
e_aq^-1 5.57196 3.59858 -1433.25
e_aq^-1 -20.9104 8.19351 -1438.86
e_aq^-1 -16.3653 -4.00032 -1442.21
e_aq^-1 13.5174 -15.022 -1416.45
e_aq^-1 3.59027 0.0568261 -1417.22
e_aq^-1 16.9605 23.2233 -1433.31
e_aq^-1 3.73311 -4.98257 -1428.84
e_aq^-1 -7.46163 0.738695 -1427.92
e_aq^-1 -5.98445 16.5703 -1434.15
e_aq^-1 -6.53684 0.838065 -1428.43
e_aq^-1 -6.95646 3.39044 -1419.32
e_aq^-1 -14.8366 -4.33135 -1438.39
e_aq^-1 -5.82071 0.90223 -1429.45
e_aq^-1 -22.9145 8.22905 -1412.27
e_aq^-1 -15.7667 -0.977216 -1419.14
e_aq^-1 19.681 -16.5585 -1415.69
e_aq^-1 -4.45545 -21.4757 -1405.95
e_aq^-1 -7.62382 16.7964 -1412.31
e_aq^-1 -9.51511 6.41171 -1411.25
e_aq^-1 7.81773 14.2451 -1407.41
e_aq^-1 5.36666 4.69753 -1408.67
e_aq^-1 -1.70844 -4.90107 -1407.93
e_aq^-1 -7.23499 6.7472 -1402.8
e_aq^-1 -0.281615 15.8908 -1425.94
e_aq^-1 13.3615 10.1621 -1377.6
e_aq^-1 3.58688 -4.76613 -1395.7
e_aq^-1 2.59953 -5.90537 -1411.86
e_aq^-1 -16.9762 6.68531 -1424.05
e_aq^-1 -5.79094 3.01723 -1399.45
e_aq^-1 7.84005 0.496134 -1408.72
e_aq^-1 10.2663 10.5143 -1410.92
e_aq^-1 -0.927516 3.57847 -1398.54
e_aq^-1 -8.36455 5.00907 -1400.99
e_aq^-1 -2.03826 -9.73445 -1400.28
e_aq^-1 7.05886 3.03352 -1419.95
e_aq^-1 0.733987 -5.55908 -1399.8
e_aq^-1 -4.87116 -3.43428 -1396.05
e_aq^-1 -7.28024 -2.48085 -1379.78
e_aq^-1 -34.3264 3.60351 -1388.16
e_aq^-1 7.9353 -0.382738 -1388.82
e_aq^-1 -5.349 -2.67834 -1387.11
e_aq^-1 1.12219 8.54773 -1373.94
e_aq^-1 -8.2277 -3.01541 -1381.47
e_aq^-1 -6.57252 5.54924 -1385
e_aq^-1 -8.30799 -7.38632 -1381.69
e_aq^-1 0.11238 8.41451 -1371.89
e_aq^-1 -23.7983 -18.6566 -1329.73
e_aq^-1 -14.9911 0.347728 -1373.89
e_aq^-1 -9.52512 18.0249 -1363.73
e_aq^-1 -22.6433 10.7578 -1363.47
e_aq^-1 0.427267 9.0378 -1370.82
e_aq^-1 -15.2921 6.8168 -1355.33
e_aq^-1 -13.3418 3.57576 -1360.9
e_aq^-1 -11.0732 4.7584 -1353.3
e_aq^-1 3.13198 -1.89031 -1374.87
e_aq^-1 -2.90955 11.7533 -1357.74
e_aq^-1 -9.30947 4.77322 -1338.98
e_aq^-1 -18.331 1.69221 -1358
e_aq^-1 -6.94514 10.3081 -1354.64
e_aq^-1 -10.1501 -26.0795 -1348.56
e_aq^-1 -17.6155 1.52314 -1351.27
e_aq^-1 -1.97922 11.1413 -1350.73
e_aq^-1 -7.49818 2.14249 -1347.76
e_aq^-1 -1.10541 -3.90289 -1348.29
